2026-02-28 07:48:50 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:120 - INFO ] 从baseline预训练权重中加载
2026-02-28 07:48:52 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:124 - INFO ] 从Wavlm预训练权重中加载
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.masked_spec_embed
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.0.layer_norm.bias
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.1.layer_norm.bias
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.2.layer_norm.bias
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.3.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.3.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.3.layer_norm.bias
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.4.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.4.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.4.layer_norm.bias
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.5.conv.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.5.layer_norm.weight
2026-02-28 07:49:06 [/home/student/zt/ConvTasNet_hao/ConvTasNet_Separation_WavLM_CAtt/trainer.py:203 - INFO ] 冻结参数: wavlm_encoder.encoder.feature_extractor.conv_layers.5.layer_norm.bias
